Facility,ID,Measurement type,Status,Enrichment (%),Burnup (GWd/MT),Discharge day,month,year,cycle #,Thres A,Thres B, Measurement day,month,year,Cooling Time (years), NA, NB, NC, G1, G2 ,Detector
WWER-440,CV-13,1,0,3.6,10.58,18,11,2002,1,0,0,,,,,49,0,0,2810,0,
WWER-440,CV-14,1,0,3.6,9.12,18,11,2002,1,0,0,,,,,39,0,0,2520,0,
WWER-440,CV-15,1,0,3.6,7.86,18,11,2002,1,0,0,,,,,39,0,0,2410,0,
WWER-440,CV-16,1,0,3.6,9.11,18,11,2002,1,0,0,,,,,71,0,0,2410,0,
WWER-440,CV-17,1,0,2.4,31.5,18,11,2002,4,0,0,,,,,1250,0,0,1185,0,
WWER-440,CV-18,1,0,2.4,31.5,18,11,2002,4,0,0,,,,,1310,0,0,1350,0,
WWER-440,CV-22,1,0,2.4,17.9,18,11,2002,2,0,0,,,,,270,0,0,2270,0,
WWER-440,CV-23,1,0,2.4,17.9,18,11,2002,2,0,0,,,,,270,0,0,2250,0,
WWER-440,CV-24,1,0,2.4,17.8,18,11,2002,2,0,0,,,,,270,0,0,2250,0,
WWER-440,CV-25,1,0,2.4,12.4,18,11,2002,1,0,0,,,,,61,0,0,2780,0,
WWER-440,CV-26,1,0,2.4,12.3,18,11,2002,1,0,0,,,,,60,0,0,2790,0,
WWER-440,CV-27,1,0,2.4,12.4,18,11,2002,1,0,0,,,,,59,0,0,2760,0,
WWER-440,CV-28,1,0,1.6,11.1,18,11,2002,2,0,0,,,,,105,0,0,1930,0,
